"CBS_square","x","y","Population","nearest_SP_straightline","dist_straightline_km","nearest_SP_network","dist_network_km","detour_factor"
"E1805N3175",118794.9166,47259.775,15,2096,17.3193567280999,2096,1.74781597598,0.100916910680882
"E1805N3185",118794.9166,56498.105,15,2096,21.1457816700064,2096,2.903933585011,0.137329214418684
"E1805N3195",118794.9166,65736.435,NA,5820,20.9882974494021,5820,2.171918262371,0.103482346179198
"E1805N3205",118794.9166,74974.765,NA,5820,24.4237211784073,5820,3.027621414835,0.123962331240159
"E1805N3210",118794.9166,79593.93,185,5820,27.1759631895588,5820,3.778343233345,0.13903254162475
"E1805N3215",118794.9166,84213.095,1115,5820,30.3845547104838,5820,4.603707769482,0.151514735474914
"E1805N3220",118794.9166,88832.26,945,5820,33.9202406421734,5820,4.593866439356,0.135431422430547
"E1810N3125",125989.8333,1068.125,100,657,26.0084460546495,657,3.465803359862,0.133256840973105
"E1810N3130",125989.8333,5687.29,25,657,21.4743223792065,284,3.219903027585,0.149942008447392
"E1810N3145",125989.8333,19544.785,NA,657,8.44443672592873,657,1.38138736779,0.163585495708487
"E1810N3150",125989.8333,24163.95,200,657,5.1680992119433,657,0.612006644125,0.118420064907166
"E1810N3155",125989.8333,28783.115,850,657,4.97828865225932,657,0.55216127545,0.110913873023295
"E1810N3160",125989.8333,33402.28,230,657,8.09511191648324,657,0.8449316564,0.104375537375778
"E1810N3165",125989.8333,38021.445,NA,657,12.2045764600831,657,2.39428206289,0.19617903748818
"E1810N3170",125989.8333,42640.61,150,657,16.5845080359379,2096,2.542687497491,0.153317028879066
"E1810N3180",125989.8333,51878.94,NA,2096,25.4658100172013,2096,3.078672683584,0.120894355274953
"E1810N3185",125989.8333,56498.105,10,2096,27.2660255191257,2096,2.817759915081,0.103343258191572
"E1810N3190",125989.8333,61117.27,5,5820,27.8431776313676,5820,3.16455020567,0.113656215808675
"E1810N3195",125989.8333,65736.435,10,5820,28.0933666175525,5820,2.660303477015,0.0946950756465359
"E1810N3200",125989.8333,70355.6,NA,5820,29.0844516159234,5820,3.639455266535,0.125134051506147
"E1810N3205",125989.8333,74974.765,NA,5820,30.7448658199091,5820,3.749186762335,0.121945133353198
